2022-11-03 11:00:59,266 | CRUD | INFO | Trip (ID: 6) Deleted from Trip.
2022-11-03 11:01:34,395 | CRUD | INFO | Trip (ID: 10) inserted to Trip.
2022-11-03 11:01:45,102 | CRUD | INFO | [9] searched.
2022-11-03 11:01:52,028 | CRUD | INFO | Trip (ID: 9) Deleted from Trip.
2022-11-03 11:02:19,537 | CRUD | INFO | Trip (ID: 11) inserted to Trip.
2022-11-03 11:24:02,560 | CRUD | INFO | Trip (ID: 10) Deleted from Trip.
2022-11-03 11:24:39,900 | CRUD | INFO | Trip (ID: 12) inserted to Trip.
2022-11-03 11:28:55,292 | CRUD | INFO | Trip (ID: 4) inserted to Trip.
2022-11-03 11:29:28,292 | CRUD | INFO | Trip (ID: 1) Deleted from Trip.
2022-11-03 11:29:48,139 | CRUD | INFO | Trip (ID: 5) inserted to Trip.
2022-11-03 11:48:40,479 | CRUD | INFO | Trip (ID: 4) Deleted from Trip.
2022-11-03 11:52:35,848 | CRUD | INFO | Trip (ID: 6) inserted to Trip.
2022-11-03 11:56:50,966 | CRUD | INFO | [2] searched.
2022-11-03 11:56:53,141 | CRUD | INFO | [3] searched.
2022-11-03 11:57:00,693 | CRUD | INFO | [4] searched.
2022-11-03 11:57:02,893 | CRUD | INFO | [5] searched.
2022-11-03 11:57:51,631 | CRUD | INFO | [6] searched.
2022-11-03 12:00:54,156 | CRUD | INFO | [6] searched.
2022-11-03 12:59:30,514 | CRUD | INFO | [6] searched.
2022-11-03 13:00:12,092 | CRUD | INFO | [3] searched.
2022-11-03 13:00:21,096 | CRUD | INFO | Trip (ID: 3) Deleted from Trip.
2022-11-03 13:00:52,267 | CRUD | INFO | [1] searched.
2022-11-03 13:00:57,675 | CRUD | INFO | [6] searched.
2022-11-03 13:07:41,038 | CRUD | INFO | [6] searched.
2022-11-03 13:14:46,969 | CRUD | INFO | [6] searched.
2022-11-03 13:14:49,055 | CRUD | INFO | [1] searched.
2022-11-03 13:14:52,729 | CRUD | INFO | [6] searched.
2022-11-03 13:15:22,568 | CRUD | INFO | Trip (ID: 7) inserted to Trip.
2022-11-03 13:15:39,954 | CRUD | INFO | Vechicle (ID: 4) inserted to Fleet.
2022-11-03 13:16:02,337 | CRUD | INFO | Trip (ID: 8) inserted to Trip.
2022-11-03 13:16:15,350 | CRUD | INFO | [7] searched.
2022-11-03 13:16:18,169 | CRUD | INFO | [8] searched.
2022-11-03 13:16:27,850 | CRUD | INFO | [9] searched.
