2022-10-27 13:38:58,623 | CRUD | INFO | Vechicle (ID: 3) inserted to Fleet.
2022-10-27 13:44:56,487 | CRUD | INFO | Vechicle (ID: 4) inserted to Fleet.
2022-10-27 14:13:06,620 | CRUD | INFO | Vechicle (ID: 5) inserted to Fleet.
2022-10-27 14:28:36,969 | CRUD | INFO | Vechicle (ID: 6) inserted to Fleet.
2022-10-27 14:29:21,179 | CRUD | INFO | Vechicle (ID: 7) inserted to Fleet.
2022-10-27 14:31:04,529 | CRUD | INFO | Vechicle (ID: 8) inserted to Fleet.
2022-10-27 14:52:35,107 | CRUD | INFO | Vechicle (ID: 9) inserted to Fleet.
2022-10-27 16:42:14,134 | CRUD | INFO | Vechicle (ID: 10) inserted to Fleet.
2022-10-27 17:18:19,698 | CRUD | INFO | Vechicle (ID: 11) inserted to Fleet.
2022-10-27 17:42:00,606 | CRUD | INFO | Vechicle (ID: 12) inserted to Fleet.
2022-10-27 17:43:25,904 | CRUD | INFO | Vechicle (ID: 13) inserted to Fleet.
